"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.168.177","66.22.238.34","UDP","1069","50672  >  50023 Len=1027"
"2","0.000079","192.168.168.177","66.22.238.34","UDP","1070","50672  >  50023 Len=1028"
"3","0.000102","192.168.168.177","66.22.238.34","UDP","1070","50672  >  50023 Len=1028"
"4","0.000122","192.168.168.177","66.22.238.34","UDP","1070","50672  >  50023 Len=1028"
"5","0.008007","66.22.238.15","192.168.168.177","UDP","299","50003  >  57196 Len=257"
"6","0.021907","162.159.130.234","192.168.168.177","TLSv1.2","224","Application Data"
"7","0.033076","192.168.168.177","66.22.238.34","UDP","1170","50672  >  50023 Len=1128"
"8","0.033151","192.168.168.177","66.22.238.34","UDP","1170","50672  >  50023 Len=1128"
"9","0.033175","192.168.168.177","66.22.238.34","UDP","1170","50672  >  50023 Len=1128"
"10","0.033196","192.168.168.177","66.22.238.34","UDP","1170","50672  >  50023 Len=1128"
"11","0.033216","192.168.168.177","66.22.238.34","UDP","1170","50672  >  50023 Len=1128"
"12","0.033236","192.168.168.177","66.22.238.34","UDP","1170","50672  >  50023 Len=1128"
"13","0.038040","192.168.168.177","66.22.238.34","UDP","1171","50672  >  50023 Len=1129"
"14","0.038108","192.168.168.177","66.22.238.34","UDP","1171","50672  >  50023 Len=1129"
"15","0.042789","66.22.238.15","192.168.168.177","UDP","334","50003  >  57196 Len=292"
"16","0.043034","192.168.168.177","66.22.238.15","RTCP","102","Sender Report   "
"17","0.053296","66.22.238.34","192.168.168.177","UDP","98","50023  >  50672 Len=56"
"18","0.058026","66.22.238.15","192.168.168.177","UDP","298","50003  >  57196 Len=256"
"19","0.065215","192.168.168.177","66.22.238.34","UDP","1128","50672  >  50023 Len=1086"
"20","0.065283","192.168.168.177","66.22.238.34","UDP","1128","50672  >  50023 Len=1086"
"21","0.065306","192.168.168.177","66.22.238.34","UDP","1129","50672  >  50023 Len=1087"
"22","0.065326","192.168.168.177","66.22.238.34","UDP","1129","50672  >  50023 Len=1087"
"23","0.069003","192.168.168.177","162.159.130.234","TCP","54","61107  >  443 [ACK] Seq=1 Ack=171 Win=509 Len=0"
"24","0.074005","66.22.238.15","192.168.168.177","UDP","297","50003  >  57196 Len=255"
"25","0.096591","66.22.238.15","192.168.168.177","UDP","296","50003  >  57196 Len=254"
"26","0.098832","192.168.168.177","66.22.238.34","UDP","969","50672  >  50023 Len=927"
"27","0.098930","192.168.168.177","66.22.238.34","UDP","969","50672  >  50023 Len=927"
"28","0.098966","192.168.168.177","66.22.238.34","UDP","969","50672  >  50023 Len=927"
"29","0.098988","192.168.168.177","66.22.238.34","UDP","969","50672  >  50023 Len=927"
"30","0.115016","66.22.238.15","192.168.168.177","UDP","414","50003  >  57196 Len=372"
"31","0.132429","192.168.168.177","66.22.238.34","UDP","1090","50672  >  50023 Len=1048"
"32","0.132587","192.168.168.177","66.22.238.34","UDP","1090","50672  >  50023 Len=1048"
"33","0.132700","192.168.168.177","66.22.238.34","UDP","1090","50672  >  50023 Len=1048"
